Year,Region,School,School_Key,Address,School Level,Student_Response_Rate,Teacher_Response_Rate,Parent_Response_Rate,Student_N,Teacher_N,Parent_N,Leaders,Teachers,Families,Environment,Instruction,5essentials_overall_score,Overall_Index_Calc,Parent_Response_Risk,Overall_Risk
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,2835 Morse Road Columbus OH 43231,8,89.5,83.3,14.7,247,48,381,32,17,22,36,56,1,32.6,High Risk,High Risk
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,2350 Morse Road Columbus OH 43229,9,91.7,90.9,9.3,434,44,451,59,48,50,13,34,2,40.8,High Risk,High Risk
2024,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,2899 Morse Road Columbus OH 43231,8,0,75.6,12.1,0,45,380,51,29,37,,,2,39,High Risk,High Risk
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1329 Bethel Road Columbus OH 43220,1,95,97.2,14.6,139,36,275,48,45,40,44,52,3,45.8,High Risk,High Risk
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1055 Laidlaw Avenue Cincinnati OH 45237,1,93.5,96.3,8.4,124,27,213,35,40,14,28,42,1,31.8,High Risk,High Risk
2024,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,121 S Monmouth St Dayton OH 45403,1,82.6,61.9,6.8,109,21,192,21,14,3,20,23,1,16.2,High Risk,High Risk
2024,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,4751 Sue Ann Blvd Dayton OH 45415,8,99.9,72.2,13.8,43,18,189,38,22,8,18,56,1,28.4,High Risk,High Risk
2024,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,250 Shoup Mill Rd Dayton OH 45415,2,73.7,96,6.3,274,25,270,42,46,35,33,38,1,38.8,High Risk,High Risk
2024,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,4801 Franklin Avenue Second Floor Des Moines IA 50310,8,0,61.5,32.9,0,13,73,36,5,,,,2,20.5,Healthy,High Risk
2024,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,7435 N. Keystone Ave Indianapolis IN 46240,1,78.1,79.3,14.4,475,58,638,33,14,16,14,29,1,21.2,High Risk,High Risk
2024,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,4575 W 38th Street Indianapolis IN 46254,1,86.4,58.7,15.8,286,63,545,39,37,38,31,54,1,39.8,Watch,High Risk
2024,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,27300 Dequindre Rd Warren MI 48092,1,89.7,75.5,21.8,397,49,586,45,24,27,22,27,1,29,Watch,High Risk
2024,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,28501 Lorraine Ave Warren MI 48093,1,96.7,71.4,16.7,61,21,186,48,37,41,67,43,3,47.2,Watch,High Risk
2024,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,7735 2nd Ave S Minneapolis MN 55423,1,49.3,80,5.7,71,15,177,13,26,27,,,1,22,High Risk,High Risk
2024,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,169 Jenks Ave Saint Paul MN 55117,1,58.3,61.4,1.2,393,44,591,24,12,28,27,38,1,25.8,High Risk,High Risk
