Year,Role,Item_Text,Pct_Favorable,Pct_Unfavorable,Rank_Strength,Rank_Concern
2024,Student,Adults in this neighborhood know who the local children are.,43.12,36.72,46,43
2024,Student,All students are encouraged to go to college.,29.4,6.56,56,33
2024,Student,Apply math to situations in life outside of school.,0,17.16,63,1
2024,Student,Are you challenged?,44.64,5.8,44,45
2024,Student,Debate the meaning of a reading.,0,12.6,63,1
2024,Student,Discuss connections between a reading and real life people or situations.,0,7.48,63,1
2024,Student,"Discuss how culture, time, or place affects an author's writing.",0,8.08,63,1
2024,Student,Discuss possible solutions to problems with other students.,0,10.28,63,1
2024,Student,Do you have to work hard to do well?,44.28,3.56,45,44
2024,Student,Does the teacher ask difficult questions in class?,37.96,5.48,51,38
2024,Student,Does the teacher ask difficult questions on tests?,40.84,5.76,49,40
2024,Student,Doesn't let students give up when the work gets hard.,82.96,17.2,10,79
2024,Student,Don't get along together very well.,40.92,39.2,48,41
2024,Student,"During the day, it is safe for children to play in the local park or playground.",63.08,16.96,31,58
2024,Student,Encourage you to work hard at school.,68.72,2.2,25,64
2024,Student,Encourages students to share their ideas about things we are studying in class.,79.88,20.12,18,71
2024,Student,Encourages us to consider different solutions or points of view.,83.24,16.56,9,80
2024,Student,Expects everyone to work hard.,90.16,10,1,88
2024,Student,Expects me to do my best all the time.,89.72,10.36,2,87
2024,Student,Explain how writers use tools like symbolism and metaphor to communicate meaning.,0,1.88,63,1
2024,Student,Explain how you solved a problem to the class.,0,10.96,63,1
2024,Student,Explains things in a different way if I don't understand something in class.,84.04,15.84,8,81
2024,Student,Feel it is important to attend school every day?,0,0,63,1
2024,Student,Feel it is important to pay attention in class?,0,0,63,1
2024,Student,Find information from graphs and tables.,0,8.16,63,1
2024,Student,Generate your own hypotheses.,0,10.96,63,1
2024,Student,Gives me specific suggestions about how I can improve my work in this class.,82.56,17.52,11,78
2024,Student,Help each other learn.,52.6,27.4,41,48
2024,Student,Helps me catch up if I am behind.,82.32,17.88,13,76
2024,Student,High school is seen as preparation for the future.,30.68,5.4,53,36
2024,Student,High school teaches me valuable skills.,29,7.04,59,30
2024,Student,I always study for tests.,56.6,43.48,38,51
2024,Student,I feel comfortable with my teachers at this school.,82.16,17.76,15,74
