Year,Region,School,School_Key,Role,Item_Text,Response_Option,Percent,Is_Favorable,Is_Unfavorable
2024,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,Student,I feel safe with my teachers at this school.,Strongly disagree,1,FALSE,TRUE
2024,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,Student,I feel safe with my teachers at this school.,Strongly disagree,3,FALSE,TRUE
2024,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,Student,I feel safe with my teachers at this school.,Strongly disagree,3,FALSE,TRUE
2024,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,Student,I feel safe with my teachers at this school.,Strongly disagree,4,FALSE,TRUE
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,Student,I feel safe with my teachers at this school.,Strongly disagree,7,FALSE,TRUE
2024,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,Student,I feel safe with my teachers at this school.,Strongly disagree,2,FALSE,TRUE
2024,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,Student,I feel safe with my teachers at this school.,Strongly disagree,4,FALSE,TRUE
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,I feel safe with my teachers at this school.,Strongly disagree,5,FALSE,TRUE
2024,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,Student,I feel safe with my teachers at this school.,Strongly disagree,6,FALSE,TRUE
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,Student,I feel safe with my teachers at this school.,Strongly disagree,5,FALSE,TRUE
2024,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,Student,I feel safe with my teachers at this school.,Strongly disagree,3,FALSE,TRUE
2024,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,Student,I feel safe with my teachers at this school.,Strongly disagree,5,FALSE,TRUE
2024,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,Student,I feel safe with my teachers at this school.,Strongly disagree,3,FALSE,TRUE
