Year,Region,School,School_Key,School Level,Metric,Score
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,Leaders,32
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,Leaders,59
2024,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,Leaders,51
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,Leaders,48
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,Leaders,35
2024,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,Leaders,21
2024,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,Leaders,38
2024,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,Leaders,42
2024,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,8,Leaders,36
2024,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,Leaders,33
2024,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,Leaders,39
2024,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,Leaders,45
2024,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,Leaders,48
2024,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,Leaders,13
2024,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,Leaders,24
2024,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,Leaders,39
2024,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,Leaders,27
2024,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,Leaders,34
