Year,Region,School,School_Key,School Level,Measure_Code,Measure_Name,Essential,Respondent_Type,Score
2024,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,20
2024,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,33
2024,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,21
2024,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,72
2024,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,colb,Collaborative Practices,Collaborative Teachers,Teacher,40
2024,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,colb,Collaborative Practices,Collaborative Teachers,Teacher,13
2024,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,16
2024,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,1
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,35
2024,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,colb,Collaborative Practices,Collaborative Teachers,Teacher,34
2024,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,54
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,colb,Collaborative Practices,Collaborative Teachers,Teacher,13
2024,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,colb,Collaborative Practices,Collaborative Teachers,Teacher,40
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,colb,Collaborative Practices,Collaborative Teachers,Teacher,36
2024,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,colb,Collaborative Practices,Collaborative Teachers,Teacher,33
2024,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,28
2024,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,colb,Collaborative Practices,Collaborative Teachers,Teacher,15
2024,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,colb,Collaborative Practices,Collaborative Teachers,Teacher,54
2024,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,55
2024,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,27
2024,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,78
2024,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,65
2024,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,38
2024,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,18
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,51
