School_Key,School,Region,School Level,5essentials_overall_score_2024,5essentials_overall_score_2025,5essentials_overall_score_2026,Environment_2024,Environment_2025,Environment_2026,Families_2024,Families_2025,Families_2026,Instruction_2024,Instruction_2025,Instruction_2026,Leaders_2024,Leaders_2025,Leaders_2026,Parent_Response_Rate_2024,Parent_Response_Rate_2025,Parent_Response_Rate_2026,Student_Response_Rate_2024,Student_Response_Rate_2025,Student_Response_Rate_2026,Teacher_Response_Rate_2024,Teacher_Response_Rate_2025,Teacher_Response_Rate_2026,Teachers_2024,Teachers_2025,Teachers_2026,Leaders_Growth_2024_to_2026,Leaders_Growth_2025_to_2026,Teachers_Growth_2024_to_2026,Teachers_Growth_2025_to_2026,Families_Growth_2024_to_2026,Families_Growth_2025_to_2026,Environment_Growth_2024_to_2026,Environment_Growth_2025_to_2026,Instruction_Growth_2024_to_2026,Instruction_Growth_2025_to_2026,5essentials_overall_score_Growth_2024_to_2026,5essentials_overall_score_Growth_2025_to_2026,Student_Response_Rate_Growth_2024_to_2026,Student_Response_Rate_Growth_2025_to_2026,Teacher_Response_Rate_Growth_2024_to_2026,Teacher_Response_Rate_Growth_2025_to_2026,Parent_Response_Rate_Growth_2024_to_2026,Parent_Response_Rate_Growth_2025_to_2026,Overall_Growth_Rank
HORIZON SCIENCE ACADEMY DAYTON HIGH,Horizon Science Academy - Dayton High,DC,2,1,3,4,33,33,49,35,49,55,38,48,60,42,58,57,6.3,1.7,10.6,73.7,73.2,71.6,96,93.1,92.9,46,67,62,15,-1,16,-5,20,6,16,16,22,12,3,1,-2.1,-1.6,-3.1,-0.2,4.3,8.9,1
HORIZON SCIENCE ACADEMY TWIN CITIES,Horizon Science Academy - Twin Cities,MN,1,1,2,3,,61,44,27,33,55,,62,51,13,34,54,5.7,34.8,2.4,49.3,92.7,72,80,99.9,81.3,26,25,49,41,20,23,24,28,22,,-17,,-11,2,1,22.7,-20.7,1.3,-18.6,-3.3,-32.4,2
MINNESOTA MATH AND SCIENCE ACADEMY,Minnesota Math and Science Academy,MN,1,1,1,3,27,24,41,28,38,45,38,31,40,24,42,46,1.2,1.4,0.6,58.3,62.4,89.9,61.4,95.2,70,12,34,46,22,4,34,12,17,7,14,17,2,9,2,2,31.6,27.5,8.6,-25.2,-0.6,-0.8,2
GATEWAY SCIENCE ACADEMY HIGH FYLER,Gateway Science Academy High - Fyler,MO,2,3,4,4,45,44,41,68,69,62,53,55,44,34,46,46,13,13.5,10.7,66.9,76.9,70.5,80.5,87.2,73.5,45,60,51,12,0,6,-9,-6,-7,-4,-3,-9,-11,1,0,3.6,-6.4,-7,-13.7,-2.3,-2.8,4
INDIANA MATH AND SCIENCE ACADEMY WEST,Indiana Math and Science Academy - West,IN,1,1,2,2,31,29,38,38,44,49,54,45,46,39,44,52,15.8,11.8,10.8,86.4,85.7,87,58.7,76.2,91.3,37,41,51,13,8,14,10,11,5,7,9,-8,1,1,0,0.6,1.3,32.6,15.1,-5,-1,4
GATEWAY SCIENCE ACADEMY MIDDLE FYLER,Gateway Science Academy Middle - Fyler,MO,9,1,4,2,14,19,30,39,57,58,32,45,38,45,66,47,12.2,13.9,14.3,91.6,79,83.5,80,83.8,61.4,47,63,50,2,-19,3,-13,19,1,16,11,6,-7,1,-2,-8.1,4.5,-18.6,-22.4,2.1,0.4,4
MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,Michigan Math and Science Academy - Dequindre,MI,1,1,1,2,22,22,25,27,29,39,27,29,43,45,46,52,21.8,25.3,22.1,89.7,84.1,91.3,75.5,87.5,86.5,24,32,40,7,6,16,8,12,10,3,3,16,14,1,1,1.6,7.2,11,-1,0.3,-3.2,4
HORIZON SCIENCE ACADEMY CINCINNATI,Horizon Science Academy - Cincinnati,DC,1,1,1,1,28,39,39,14,6,19,42,43,33,35,19,29,8.4,1.9,3.9,93.5,51.2,94,96.3,81,83.3,40,16,24,-6,10,-16,8,5,13,11,0,-9,-10,0,0,0.5,42.8,-13,2.3,-4.5,2,8
HORIZON SCIENCE ACADEMY DES MOINES,Horizon Science Academy - Des Moines,IA,8,2,1,2,,24,26,,55,47,,1,45,36,40,40,32.9,24,12.5,0,91.7,97.3,61.5,70,82.1,5,17,30,4,0,25,13,,-8,,2,,44,0,1,97.3,5.6,20.6,12.1,-20.4,-11.5,8
HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Horizon Science Academy - Columbus Elementary,Columbus,8,1,1,1,36,35,29,22,14,34,56,60,39,32,24,42,14.7,17.6,43.4,89.5,99.2,99.9,83.3,79.6,77.5,17,14,37,10,18,20,23,12,20,-7,-6,-17,-21,0,0,10.4,0.7,-5.8,-2.1,28.7,25.8,8
HORIZON SCIENCE ACADEMY CLEVELAND HIGH,Horizon Science Academy - Cleveland High,NO,2,3,4,3,43,54,46,41,49,46,51,58,44,59,76,59,6,4.9,2.1,72.5,53.7,50.7,66.7,60.7,59.3,53,60,45,0,-17,-8,-15,5,-3,3,-8,-7,-14,0,-1,-21.8,-3,-7.4,-1.4,-3.9,-2.8,8
HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,Horizon Science Academy - Dayton Downtown,DC,1,1,1,1,20,23,12,3,12,28,23,30,22,21,34,30,6.8,6.6,18.4,82.6,89.5,94.6,61.9,85,92.3,14,23,23,9,-4,9,0,25,16,-8,-11,-1,-8,0,0,12,5.1,30.4,7.3,11.6,11.8,8
INDIANA MATH AND SCIENCE ACADEMY NORTH,Indiana Math and Science Academy - North,IN,1,1,1,1,14,22,30,16,28,37,29,26,39,33,35,40,14.4,9.2,11.3,78.1,82.2,76.6,79.3,90.7,94.8,14,28,38,7,5,24,10,21,9,16,8,10,13,0,0,-1.5,-5.6,15.5,4.1,-3.1,2.1,8
HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,Horizon Science Academy - Dayton Elementary,DC,8,1,3,1,18,72,17,8,14,17,56,67,46,38,44,47,13.8,6.7,13.2,99.9,97.7,93.4,72.2,79,99.9,22,24,27,9,3,5,3,9,3,-1,-55,-10,-21,0,-2,-6.5,-4.3,27.7,20.9,-0.6,6.5,8
GATEWAY SCIENCE ACADEMY SMILEY,Gateway Science Academy - Smiley,MO,8,1,1,1,22,7,32,45,41,37,38,20,30,39,41,37,17.1,26.2,43.3,99.9,91.8,99.1,62.2,92.1,75,34,35,40,-2,-4,6,5,-8,-4,10,25,-8,10,0,0,-0.8,7.3,12.8,-17.1,26.2,17.1,8
