Year,Region,Schools,Avg_Overall,Avg_Leaders,Avg_Teachers,Avg_Families,Avg_Environment,Avg_Instruction,Parent_Response
2024,Columbus,4,2,47.5,34.8,37.2,31,47.3,12.7
2024,DC,4,1,34,30.5,15,24.8,39.8,8.8
2024,IA,1,2,36,5,,,,32.9
2024,IN,2,1,36,25.5,27,22.5,41.5,15.1
2024,MI,2,2,46.5,30.5,34,44.5,35,19.2
2024,MN,2,1,18.5,19,27.5,27,38,3.4
2024,MO,4,1.5,36.2,34.5,46,28.8,39,16
2024,NO,1,3,59,53,41,43,51,6
2024,Unassigned,8,1.5,42.1,38.9,27,29.4,36.2,17.3
2025,Columbus,4,1.2,38.2,24.2,29.2,36,54.7,15
2025,DC,4,2,38.8,32.5,20.2,41.8,47,4.2
2025,IA,1,1,40,17,55,24,1,24
2025,IN,2,1.5,39.5,34.5,36,25.5,35.5,10.5
2025,MI,2,1.5,43,33.5,42,39.5,41,22.6
2025,MN,2,1.5,38,29.5,35.5,42.5,46.5,18.1
2025,MO,4,2.8,48.5,46.8,52.5,27.2,40,21.1
2025,NO,1,4,76,60,49,54,58,4.9
2025,Unassigned,8,1.2,44.5,36.9,27.4,28.1,35.8,8.6
2026,Columbus,6,2.3,46.2,41.5,41,46.4,49.4,18.7
2026,DC,4,1.8,40.8,34,29.8,29.2,40.2,11.5
2026,IA,2,1.5,38,29.5,43,26,45,18.8
2026,IN,2,1.5,46,44.5,43,34,42.5,11
2026,MI,2,2,54,43,40,29,44.5,29.6
2026,MN,2,3,50,47.5,50,42.5,45.5,1.5
2026,MO,4,2,41,42.2,47.8,34.5,37.5,22
2026,NO,3,2,45.5,41,38.5,32,36.3,5.9
