Year,Region,School,School_Key,School Level,grade_level_id,subgroup,Measure_Code,Measure_Name,Essential,Respondent_Type,Score
2024,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,,1,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,16
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,17
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,15
2024,Unassigned,,NAN,,,4th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,70
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,6th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,10
2024,Unassigned,,NAN,,,7th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,14
2024,Unassigned,,NAN,,,8th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,9th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,16
2024,Unassigned,,NAN,,,10th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,11th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,45
2024,Unassigned,,NAN,,,12th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,42
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,11
2024,Unassigned,,NAN,,,Latino,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,27
2024,Unassigned,,NAN,,,White,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,39
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,16
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,17
2024,Unassigned,,NAN,,,Non-FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,5
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,17
2024,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,,1,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,52
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,62
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,42
2024,Unassigned,,NAN,,,4th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,42
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,56
2024,Unassigned,,NAN,,,6th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,44
2024,Unassigned,,NAN,,,7th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,39
2024,Unassigned,,NAN,,,8th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,84
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,51
2024,Unassigned,,NAN,,,Latino,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,47
2024,Unassigned,,NAN,,,ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,57
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,46
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,50
2024,Unassigned,,NAN,,,Non-FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,72
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,35
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,53
2024,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,,1,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,33
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,44
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,24
2024,Unassigned,,NAN,,,4th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,71
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,31
2024,Unassigned,,NAN,,,6th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,48
2024,Unassigned,,NAN,,,7th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,8th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,4
2024,Unassigned,,NAN,,,9th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,38
2024,Unassigned,,NAN,,,10th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,59
2024,Unassigned,,NAN,,,11th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,37
2024,Unassigned,,NAN,,,12th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,30
2024,Unassigned,,NAN,,,Asian,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,21
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,36
2024,Unassigned,,NAN,,,Latino,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,46
2024,Unassigned,,NAN,,,White,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,21
2024,Unassigned,,NAN,,,ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,19
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,34
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,33
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,43
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,33
2024,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,,1,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,96
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,97
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,96
2024,Unassigned,,NAN,,,4th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,99
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,79
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,93
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,94
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,96
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,95
2024,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,,8,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,4th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,30
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,White,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,Two or more,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,2
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,Non-FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,64
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,,8,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,26
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,5
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,45
2024,Unassigned,,NAN,,,4th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,90
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,58
2024,Unassigned,,NAN,,,White,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,3
2024,Unassigned,,NAN,,,Two or more,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,34
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,54
2024,Unassigned,,NAN,,,Non-FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
