Year,Region,School,School_Key,Measure_Code,Measure_Name,min,max,mean,count,Subgroup_Gap
2026,Unassigned,,NAN,clar,Course Clarity,0,99,38.01628664,307,99
2026,Unassigned,,NAN,acno,Peer Support for Academic Work,0,99,37.5861244,418,99
2024,Unassigned,,NAN,pres,Academic Press,0,99,38.87861272,346,99
2024,Unassigned,,NAN,perc,Academic Personalism,0,99,36.57681159,345,99
2024,Unassigned,,NAN,math,Math Instruction,0,99,42.86705202,346,99
2026,Unassigned,,NAN,perc,Academic Personalism,0,99,36.60817308,416,99
2024,Unassigned,,NAN,clar,Course Clarity,0,99,19.74615385,260,99
2024,Unassigned,,NAN,acno,Peer Support for Academic Work,0,99,35.69827586,348,99
2025,Unassigned,,NAN,math,Math Instruction,0,99,43.77005348,374,99
2026,Unassigned,,NAN,prs2,Parent Supportiveness,0,99,40.04530744,309,99
2025,Unassigned,,NAN,rigr,Classroom Rigor,0,99,26.65091864,381,99
2025,Unassigned,,NAN,stdy,Rigorous Study Habits,0,99,32.63707572,383,99
2024,Unassigned,,NAN,trts,Student-Teacher Trust,0,99,26.61604585,349,99
2024,Unassigned,,NAN,stdy,Rigorous Study Habits,0,99,29.23988439,346,99
2025,Unassigned,,NAN,acno,Peer Support for Academic Work,0,99,39.11023622,381,99
2025,Unassigned,,NAN,clar,Course Clarity,0,99,19.44178082,292,99
2025,Unassigned,,NAN,trts,Student-Teacher Trust,0,98,29.95822454,383,98
2026,Unassigned,,NAN,math,Math Instruction,1,99,41.15571776,411,98
2024,Unassigned,,NAN,peer,Student Peer Relationships,1,99,29.15648855,262,98
2024,Unassigned,,NAN,engl,English Instruction,1,99,52.70605187,347,98
2024,Unassigned,,NAN,engg,Academic Engagement,1,99,52.61918605,344,98
2025,Unassigned,,NAN,engg,Academic Engagement,1,99,54.54353562,379,98
2025,Unassigned,,NAN,engl,English Instruction,1,99,54.41223404,376,98
2026,Unassigned,,NAN,engg,Academic Engagement,1,99,45.97349398,415,98
2025,Unassigned,,NAN,pres,Academic Press,1,99,38.91863517,381,98
2025,Unassigned,,NAN,perc,Academic Personalism,1,99,40.60789474,380,98
2025,Unassigned,,NAN,peer,Student Peer Relationships,1,99,33.11227154,383,98
2026,Unassigned,,NAN,stdy,Rigorous Study Habits,1,99,40.87648456,421,98
2026,Unassigned,,NAN,pres,Academic Press,0,97,37.47129187,418,97
2024,Unassigned,,NAN,rigr,Classroom Rigor,0,94,23.64553314,347,94
2026,Unassigned,,NAN,rigr,Classroom Rigor,0,90,37.07655502,418,90
2026,Unassigned,,NAN,peer,Student Peer Relationships,1,91,38.06443914,419,90
2026,Unassigned,,NAN,engl,English Instruction,7,96,45.78019324,414,89
2024,Unassigned,,NAN,futr,Importance of High School for the Future,0,88,26.92592593,54,88
2025,Unassigned,,NAN,humr,Human & Social Resources in the Community,1,88,42.76791809,293,87
2026,Unassigned,,NAN,safe1,Safety,1,88,36.39856802,419,87
2026,Unassigned,,NAN,trts,Student-Teacher Trust,0,84,30.78384798,421,84
2024,Unassigned,,NAN,scie,Inquiry-Based Science Instruction,1,79,46.05058366,257,78
2025,Unassigned,,NAN,scie,Inquiry-Based Science Instruction,7,81,43.75174825,286,74
2025,Unassigned,,NAN,futr,Importance of High School for the Future,1,73,23.71929825,57,72
2026,Unassigned,,NAN,humr,Human & Social Resources in the Community,5,76,35.74757282,309,71
2025,Unassigned,,NAN,slap,School-Wide Future Orientation,33,99,55.05263158,57,66
2026,Unassigned,,NAN,futr,Importance of High School for the Future,31,97,62.6,65,66
2026,Unassigned,,NAN,slap,School-Wide Future Orientation,24,85,55.8,65,61
2024,Unassigned,,NAN,slap,School-Wide Future Orientation,34,93,56.64814815,54,59
2024,Unassigned,,NAN,humr,Human & Social Resources in the Community,15,73,43.47709924,262,58
2026,Unassigned,,NAN,scie,Inquiry-Based Science Instruction,14,71,44.46557377,305,57
2026,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,scie,Inquiry-Based Science Instruction,41,41,41,1,0
2026,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,safe1,Safety,38,38,38,1,0
2026,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,stdy,Rigorous Study Habits,48,48,48,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,acno,Peer Support for Academic Work,19,19,19,1,0
2026,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,rigr,Classroom Rigor,36,36,36,1,0
2026,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,prs2,Parent Supportiveness,52,52,52,1,0
2026,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,pres,Academic Press,34,34,34,1,0
2026,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,peer,Student Peer Relationships,36,36,36,1,0
2026,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,trts,Student-Teacher Trust,35,35,35,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,clar,Course Clarity,2,2,2,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,engg,Academic Engagement,26,26,26,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,engl,English Instruction,37,37,37,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,humr,Human & Social Resources in the Community,18,18,18,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,math,Math Instruction,25,25,25,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,peer,Student Peer Relationships,25,25,25,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,perc,Academic Personalism,8,8,8,1,0
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,pres,Academic Press,15,15,15,1,0
2026,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,perc,Academic Personalism,35,35,35,1,0
2026,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,humr,Human & Social Resources in the Community,40,40,40,1,0
2026,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,math,Math Instruction,48,48,48,1,0
2026,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,peer,Student Peer Relationships,50,50,50,1,0
2026,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,perc,Academic Personalism,41,41,41,1,0
2026,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,pres,Academic Press,34,34,34,1,0
2026,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,prs2,Parent Supportiveness,39,39,39,1,0
