Year,Region,School,School_Key,Role,Item_Text,Pct_Favorable,Pct_Unfavorable,Response_Options,Pct_Neutral_Other
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,Adults in this neighborhood know who the local children are.,0,0,"Strongly disagree, Disagree, Agree, Strongly agree",100
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,All students are encouraged to go to college.,0,0,"Strongly disagree, Disagree, Agree, Strongly agree",100
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,Apply math to situations in life outside of school.,0,14,"Never, Once or twice a semester, Once or twice a month, Once or twice a week, Almost every day",86
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,Are you challenged?,41,5,"Never, Once in a while, Most of the time, All the time",54
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,Debate the meaning of a reading.,0,11,"Never, Once or twice a semester, Once or twice a month, Once or twice a week, Almost every day",89
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,Discuss connections between a reading and real life people or situations.,0,11,"Never, Once or twice a semester, Once or twice a month, Once or twice a week, Almost every day",89
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,"Discuss how culture, time, or place affects an author's writing.",0,15,"Never, Once or twice a semester, Once or twice a month, Once or twice a week, Almost every day",85
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,Discuss possible solutions to problems with other students.,0,6,"Never, Once or twice a semester, Once or twice a month, Once or twice a week, Almost every day",94
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,Do you have to work hard to do well?,35,4,"Never, Once in a while, Most of the time, All the time",61
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,Does the teacher ask difficult questions in class?,29,8,"Never, Once in a while, Most of the time, All the time",63
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,Does the teacher ask difficult questions on tests?,32,7,"Never, Once in a while, Most of the time, All the time",61
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,Student,Doesn't let students give up when the work gets hard.,87,14,"Strongly disagree, Disagree, Agree, Strongly agree, Very little, Some, Quite a bit, A great deal",-1
